Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index,tsneEco_X,tsneEco_Y,EconomicsIndex,EconomicsClass,tsneEnv_X,tsneEnv_Y,EnvironmentIndex,EnvironmentClass,tsneHel_X,tsneHel_Y,HealthIndex,HealthClass,tsneHum_X,tsneHum_Y,HumanIndex,HumanClass,tsnePol_X,tsnePol_Y,PoliticsIndex,PoliticsClass,tsneSus_X,tsneSus_Y,SustainabilityIndex,SustainabilityClass
Lesotho,LSO,Africa,59.4294,1.02,"47.92599869",2496134680,1.02,1094.098185,63.2,2843321266,18418.33848,"13.13586044","-0.884113276",124.7929459,"-713497997.7",70.52,7,32,31.84951268,127.6121389,"24.59799957",0.345958255,,"28.02865352","100",75.14670619,100,39.47,2349.820416,"5.23",1,30360,84.48044733,6300,"42.18825423","12.73146078","45.08028614","12.858",8.7,124.2,"8.1","4.76","614",7.7,"54.693","544","31.9","177.6","44.4","393.666","504.362","69.9","89.5",2281454,"20.9",30.9,34.7,"32",76,2600,,23,47.35273743,8.7,27.3,0.400392592,0.514,,29.5,"4.59",78.125,36,-0.32,4.90647459,40,-0.9,50.4,42.8,44.1,1.287187495,3.036387841,0.0129,48.1,27,-0.22,-0.7,-0.41,48,-2.1171312,-4.293295,0.029087711,Low,1.3507627,3.3223488,0.027081381,Low,3.403992,4.699206,0.05614355,Low,-1.9452945,-6.0065994,0.327746467,Low,1.0895239,-1.1923529,0.365340013,Low,5.5978723,1.9148989,0.161079824,Low
Liberia,LBR,Africa,43.22747,4,"71.66999817",3509000000,4,675.6631858,32,3297000000,634.8422695,"13.71934986","9.945623531",67.17013394,,47.427,5,33,,,"4.09499979",0.236696398,,"17.98411246","100",46.63209123,0,87.24,40118.03528,"200",0.013,111370,61.70613829,,"58.43149773","9.913440237","31.65506225","8.753",2.69,52.6,,,"308",9.5,"60.948","661","38.9","170.2","41.5","258.52","303.559","58.1","78.3",5193416,"1.1",37.3,38.3,"46",76,,,11,27.53470993,2.69,46,0.319014221,0.481,"39.69739914",30.6,"6.12",81.25,33,-0.92,1.36336625,20,-1.4,36.8,25.1,23.4,0.951294573,1.36128876,0.0095,47.9,27,-0.24,-1,-0.926,42,-5.344478,1.0408154,0.021003206,Low,-5.2867355,-2.4133554,0.006839445,Low,1.7034369,4.9406343,0.323375808,Low,-3.0644286,-6.500431,0.220801508,Low,-1.4084766,-1.1134253,0.23660563,Low,5.90623,-1.1842403,0.161725119,Low
Libya,LBY,Africa,32.68552,31.37,"38.26100159",42817472975,31.37,6357.19555,,43169797205,28935.07312,,"110.4000707",112.0056759,"163500000",19.006,10,19,,,"19.58399963",8.646557823,1889.545086,"54.25468179","100",3.827862396,0,2.8,106.5596929,"0.7",0,1759540,34.47445163,500,"10.39285333","14.55682749","75.05032133","5.598",,,"0.1","0.07","59",22,"72.472","72","21.3","71.9","0.6","118.301","189.773","9.5","11.1",6735277,"0.2",20.7,,"49",69,100,,16,69.70735168,,42.7,,0.718,,,"0.019",50,8,-1.57,,,-1.7,92.9,,,,,,,1,-2.37,-2,-1.784,60,-0.9647646,3.9142678,0.134127334,Low,-3.4436998,-7.097775,0.000840818,Low,-0.90951645,-2.1256433,0.519569013,High,-1.4733524,-2.105015,0.480989602,High,-5.668679,2.6043656,0.055401592,Low,1.7774487,-1.2872483,0.238185672,Low
Lithuania,LTU,Europe,81.61948,5,"57.20299911",66445256585,5,23723.34025,37.9,63887018863,19285.68547,"11.74954033","6.508053138",128.5464221,"-450948455.6",31.751,4,10,16.78390655,137.1975758,"7.902999878",4.198076022,3821.14517,"11.85328236","95.99985931",42.89843774,39.40817285,33.53,5533.014308,"15.46",0.713,65290,-45.82304625,200,"3.414327994","5.431395883","91.15427576","15.6",3.89,1370,"0.16","0.08","26",2.3,"74.92926829","8","8.1","34","0.1",,,"2.7","3.3",2800839,"0.2",1.9,2.5,"87",86,100,0.1,28,100,,36.9,0.706047952,0.875,"108.7278976",67.4,"13.22",93.75,51,0.85,4.56012249,70,1.1,34.7,66.6,74.6,2.021726173,4.802014191,0.0202,75.8,38,0.82,1.3,1.11,70,2.4899106,-1.6439892,0.148476353,High,1.6935966,0.21214731,0.113277028,High,-6.915192,-3.5543208,0.489900401,High,1.2298049,6.134941,0.525678709,High,6.869761,-0.6113288,0.568153045,High,-4.813499,-2.6439266,0.369097107,High
Luxembourg,LUX,Europe,69.6031,6.89,"58.80400085",85506243834,6.89,133590.147,30.4,59692666902,78851.17738,"8.678359985","6.181292455",49.62678525,"1334179024",8.328,5,23,26.64459391,365.2157924,"5.227000237",15.30642656,13914.67845,"10.3646374","68.77562274",247.1289575,32.38166792,16.45,1612.900624,"1",,2590,-3.747423028,100,"5.356611264","6.046760859","88.59662626","7.3",3.65,6220.7,"0.12","0.07","6.1",3.4,"81.74146341","5","4.1","11.6","0.1",,,"2.3","2.8",640064,"0.2",0.7,2.5,"87",38,100,0.62,35,100,,31.7,0.68614614,0.93,"107.1821671",83.2,"12.94",100,59,1.87,4.61186886,80,1.7,41.4,89.5,96.4,0.626880782,1.256703496,0.0063,80.6,38,1.21,1.9,1.787,86,5.6016726,-0.48699096,0.19383945,High,1.7292061,-2.7274914,0.064198785,Low,-5.628738,-7.0056996,0.561818237,High,1.9008653,6.7827716,0.54206576,High,8.677473,-0.50483453,0.51440695,High,-6.564209,-4.3641386,0.375265836,High
Madagascar,MDG,Africa,47.72865,4.4,"82.33999634",14472603323,4.4,500.511032,41,14172186401,1877154.885,"17.95278931","7.397071516",49.29313573,"-900227954",60.793,5,23,10.28312868,49.01070737,"2.594000101",0.149637883,,"22.54228288","100",49.23531275,54.59645655,82.77,12239.79806,"337",0.413,587295,143.897975,8100,"45.45944488","9.515189734","45.02536418","6.801",3.1,19.8,"0.6","0.35","233",5.5,"65.182","335","29.2","159.6","30.2","184.575","256.518","36.3","50.2",28915653,"0.4",10.3,48.5,"59",83,1700,2.32,18,33.7350769,3.1,44.2,0.391991019,0.501,,31.1,"1.97",71.875,34,-0.93,1.18677306,50,-1,15.4,23,33.4,0.770034303,3.734325472,0.0077,58.9,27,-0.64,-0.8,-0.867,35,-5.7587624,1.7377357,0.114977956,Low,4.1709657,2.0598834,0.054689002,Low,1.0045475,2.940648,0.193648117,Low,-3.153369,-5.7093387,0.312566044,Low,-1.2870581,-0.69593954,0.238949382,Low,5.2339706,-0.48732018,0.1829661,Low
Malawi,MWI,Africa,60.9371,2.75,"70.3219986",12626717492,2.75,634.8356601,46.1,12398475305,502365.4329,"14.59023952","8.458771962",33.76966344,"-1797435446",82.305,7,35,12.17387825,,"7.020999908",0.076852396,,"23.56592147","100",167.8742573,91.30682899,73.02,855.4466378,"16.14",0.888,118480,153.3898634,16000,"49.64724799","10.16437894","40.18837238","6.706",2.91,30.4,"1.93","1.13","132",7.4,"63.717","349","33.4","115","28.3","237.901","384.223","29","38.6",19889742,"7.7",51,17.8,"55",90,6300,,23,14.86676884,3.71,38.7,0.413240641,0.512,,32.5,"3.63",77.5,37,-0.3,2.40971565,50,-0.8,31.3,29.4,53,0.948969638,2.982453227,0.0095,53,29,-0.11,-0.8,-0.238,48,-6.157891,1.9082003,0.092519081,Low,2.3358219,3.6010196,0.032798227,Low,1.9752706,3.6136363,0.359262672,Low,-3.2360284,-6.435146,0.281708178,Low,0.36965534,-0.7599069,0.330640497,Low,5.5843196,0.6502265,0.219385731,Low
Malaysia,MYS,Asia,81.47337,3.13,"61.73699951",3.73E+11,3.13,11109.26184,46.2,3.63E+11,44791.40536,"17.68560028","5.713674976",143.9773237,"32828821622",22.304,9,9,12.02266283,116.8285614,"4.609000206",7.720700215,4539.499326,"16.03580871","90.53734381",101.664766,9.957168455,5.11,17680.75986,"580",0.179,330241,40.54171965,5100,"18.13860307","8.41842161","73.44297833","5.311",3.92,436.6,"0.28","0.17","97",5.3,"75.938","29","22.5","47.4","0.4","73.134","144.397","7.4","8.6",33573874,"0.3",6.3,2.5,"65",78,1000,1.6,15,100,3.92,41.7,0.61097616,0.803,"82.45555878",59.8,"0.85",50,30,0.17,1.99659598,50,1,24.9,53.9,57.6,1.057993659,4.03840572,0.0106,68.1,20,0.14,0.7,0.558,76,2.2267675,-2.5875456,0.188200735,High,-1.5404155,-4.2363043,0.15463425,High,-3.218127,-2.7051315,0.582372292,High,0.5859312,-0.62500787,0.510684036,High,3.7343113,1.1406816,0.40514043,High,-1.3771856,-2.5382943,0.368206349,High
Maldives,MDV,Asia,53.27453,30.96,"52.75400162",5405576236,30.96,10366.29336,38.4,4922076233,145104.2009,"12.05595016","1.738646164",52.88982849,"-1450679521",58.898,6,17,,117.7780717,"6.078000069",4.182292243,,"7.795820799","0",1738.19,1.277204455,1.11,59.46387371,"0.03",0.004,300,,,"8.159321228","6.662486744","85.17819216","3.001",4.12,854.4,,,"38",17.8,"79.875","53","1.6","25.6","0.3","40.594","57.86","5.5","6.5",521457,,2.2,,"44",80,,2,5,100,4.12,,,0.747,,,"2.22",73.75,21,-0.37,6.39314747,30,0.4,42.6,43.1,32.1,,,,47.3,19,0.5,-0.5,-0.172,69,-1.9050766,-2.573328,0.117823165,Low,3.7706127,-3.8175197,0.002490213,Low,-4.3131547,-3.2898152,0.511738324,High,-0.20235915,0.58452076,0.52068514,High,1.1407926,1.9104075,0.411522592,High,-2.4434981,-0.36396304,0.312851887,High
Mali,MLI,Africa,52.94472,3.07,"63.26699829",19140461606,3.07,873.7948624,40.1,18250317610,462011.8354,"14.63601971","2.454351558",60.31724959,"504018492",55.323,5,35,11.66973731,66.99057428,"7.71999979",0.283457954,,"38.52660616","100",17.6626025,43.51635514,76.64,2917.234555,"60",0.315,1240190,151.4696597,3800,"60.25432518","9.423414823","30.32226025","9.529",3.76,34.3,"0.42","0.26","50",5.6,"58.633","562","22.7","209.1","70.7","257.229","312.723","58.8","91",21904983,"0.8",,9.8,"66",82,1000,,27,50.56141663,3.76,39.3,0.318269581,0.428,"37.29314804",29.7,"1.28",60.625,24,-0.87,1.31026745,40,-1.2,22.2,28.3,34.1,2.821948308,10.46550097,0.0282,55.9,8,-2.35,-0.6,-0.902,42,-4.896348,0.70249784,0.119249862,Low,4.434238,1.8778642,0.041844347,Low,0.6605384,5.008097,0.339286938,Low,-3.8953023,-5.345432,0.232239966,Low,-3.356997,-0.45262796,0.272301031,Low,5.771538,-1.0155629,0.200984429,Low
Malta,MLT,Europe,66.13941,9.41,"60.05500031",17364044944,9.41,33486.67198,28.1,16216240095,26441.42547,"13.99750996","1.810518127",56.24841465,"-1515348420",5.19,8,8,25.03641837,291.5013883,"3.499000072",3.293245606,4924.544019,"13.90954337","100",1620.425,7.674597084,7.7,100.1860882,"0.0505",0.115,320,,,"7.002133543","3.252657509","89.74520881","7.9",,2531.9,,,"12",35,"82.65365854","6","4.1","20.2","0.1","23.879","48.614","5.6","6.5",518536,,1.4,2.5,"87",99,,,13,100,,43.5,0.709248304,0.918,"109.6777191",68.8,"7.99",88.75,54,0.32,5.1835227,50,0.9,40.4,55.8,89.9,0.513660031,1.088028489,0.0051,71.5,35,0.97,0.8,0.864,81,4.8757863,-1.1196994,0.146462507,High,-1.0980617,-5.9171214,0.004285408,Low,-7.182803,-5.4945917,0.450299879,Low,1.2386936,5.0969887,0.600712623,High,6.526443,-1.2039397,0.421156246,High,-4.500885,-4.016238,0.324583333,High
Mauritania,MRT,Africa,51.06288,2.3,"39.61299896",9996249658,2.3,2166.046799,37,9849926793,76971.36861,"10.22801971","12.57197793",79.09966508,"-288074312.9",43.867,4,33,,94.65592645,"11.4630003",0.901034695,,"47.42299178","100",4.477514311,13.37325349,24.7,91.24401867,"0.4",,1030700,123.245315,500,"52.7128002","10.22244109","37.06475973","7.466",1.88,57.9,"0.2","0.13","81",14.8,"64.532","766","25.6","169.5","38.6","180.01","232.762","49","70.7",4614974,"0.3",7.2,10.1,"65",75,100,23.14,20,47.34841919,15.75,34.7,0.38154608,0.556,"38.18721008",28.9,"0.036",48.125,21,-0.82,1.23795974,40,-0.7,30.1,23.5,29.9,2.378162198,12.5448257,0.0238,55.3,14,-0.67,-1.1,-0.671,40,-3.306829,-1.2361522,0.102542948,Low,-4.089703,-5.192248,0.015134207,Low,0.20208423,4.083638,0.371667554,Low,-0.34745842,-5.712353,0.307579757,Low,-2.8033292,0.25507498,0.308038505,Low,4.9157333,-2.2560663,0.220992594,Low
Mauritius,MUS,Africa,81.46811,4.04,"52.44900131",11529042672,4.04,9106.237202,35.9,11700106255,385291.3764,"18.67692947","3.323174543",61.63564662,"-2125791264",59.225,4,8,18.40604811,85.88373503,"7.414000034",3.294591006,2182.509156,"14.45782732","100",620.6176471,22.72272272,8.94,2173.48194,"2.751",0.246,2040,,1000,"7.264399218","4.354115198","88.38148384","8.7",4.61,685.9,"0.92","0.54","12",29,"74.17707317","61","12.2","38.3","0.6","100.889","198.757","14.8","16.5",1266060,"1.4",9.1,7.8,"58",83,200,0.33,20,99.66165161,1.88,51.5,0.621859252,0.802,,60.2,"4.35",89.375,50,0.47,2.91634917,70,0.8,25.4,56.5,81.7,0.169557665,0.515729758,0.0017,70.9,36,0.86,1.2,0.873,65,-0.18587755,-1.5576876,0.124073953,Low,-0.521998,-4.20134,0.013045624,Low,-4.8096375,-2.207175,0.491288796,High,-0.46025556,2.113342,0.520514565,High,5.80688,-1.3616962,0.136080396,Low,-3.1274648,-3.2479887,0.257000667,Low
Mexico,MEX,North America,72.35556,4.8,"56.4469986",1.27E+12,4.8,10045.6805,48.2,1.24E+12,198287.9336,,"5.164095655",79.91739199,"34150596491",18.984,8,6,13.06463778,76.90035371,"4.379000187",3.591708614,2186.375822,"20.92111579","99.65612655",64.501502,15.39413379,10.34,3269.768422,"409",0.219,1964375,34.25550642,17000,"9.093436836","10.49625517","80.41030921","9.33",4.25,540.4,"0.23","0.13","25",25.5,"70.133","33","12.8","36.7","1.1","141.359","283.286","11.8","13.7",126705138,"0.4",3.7,6.1,"68",71,5900,0.79,50,99.40000153,,54.3,0.612949848,0.758,"101.8352966",49.1,"5",88.75,33,-1,2.67891455,60,-0.3,27,32,40.7,0.680130763,2.404126358,0.0068,63.7,27,-0.64,-0.2,-0.8,74,0.22318509,1.8966465,0.206116198,High,-0.87395793,-4.6562386,0.1294178,High,-3.0451376,-1.63381,0.579112735,High,-2.9917593,3.0653086,0.630051391,High,1.2425932,0.2187784,0.314963957,Low,-1.192797,-1.4359673,0.371932416,High
Moldova,MDA,Europe,74.39091,13.94,"37.09199905",13679221333,13.94,5230.661733,26.8,14056071333,95034.38587,"19.46438026","3.328590482",75.45020106,"-3094260000",57.002,3,10,17.69162952,77.06545656,"3.961999893",3.325546071,1725.094172,"16.25103271","100",77.25846381,5.368576588,22.04,608.0569802,"1.62",0.049,33850,-70.15332659,1000,"4.470503145","6.045261882","89.48423797","14.445",6.39,284.3,"0.59","0.3","84",36.3,"70.166","19","7.3","78.3","0.1","101.097","271.998","12.5","14.5",2615199,"0.8",4.9,,"80",79,200,0.79,40,100,6.39,51,0.584153533,0.767,"108.4610672",48.7,"11.43",87.5,35,-0.45,3.806777,50,-0.4,38,34.7,30.7,0.411613609,1.160067493,0.0041,61.3,27,-0.21,0,-0.332,67,-0.38669217,-2.099072,0.117197178,Low,-2.538206,-4.703544,0.010007983,Low,-6.839433,-2.0427706,0.461438393,High,-1.465048,4.4719577,0.593074031,High,1.5483713,-0.11275677,0.301436604,Low,-2.2400486,-2.5086155,0.296630838,Low
Mongolia,MNG,Asia,67.77262,1.42,"54.6570015",15286441818,1.42,4566.140154,34,13054692240,11110814.79,"38.10615921","14.42006548",105.295923,"1755558634",31.215,8,19,16.68852831,112.8386476,"7.081999779",7.13704541,2032.159729,"40.11284905","97.01398059",2.14036717,3.083620533,3.32,10765.89439,"34.8",0.099,1564115.749,,100,"6.309566022","10.97444045","82.7159926","5.475",4.94,163.4,"0.02","0.01","428",,"72.141",,"21","155.9","1.3","95.955","250.018","13.2","15.4",3347782,"0.1",5,3.6,"19",90,100,,17,98.09999847,4.94,24.5,0.614397526,0.739,"98.04898834",50.6,"8.19",85,48,-0.53,2.13345003,50,-0.5,37.8,37,57.1,0.655433038,1.734560641,0.0066,63.9,36,0.65,-0.2,-0.225,63,-2.944453,3.4694498,0.18070399,High,-2.8313224,-6.554833,0.102495407,High,-2.6948955,0.8362097,0.463940836,High,-2.1882005,5.1668377,0.355256086,Low,2.7782254,-1.0679568,0.347711118,Low,-1.0175204,-4.2684865,0.290021487,Low
Montenegro,MNE,Europe,73.81891,12.43,"44.63100052",5861268039,12.43,9465.703999,31.9,5983804590,8169.603576,,"5.293594728",59.21926752,"-1873472579",32.174,8,18,,87.00602224,"18.48699951",4.179875994,4612.34139,"20.78181355","100",44.83787111,49.65034965,38.74,,,0.595,13810,,100,"1.41387632","4.480178837","94.10594521","11.7",,735.2,"0.06","0.03","16",13.2,"75.93170732","45","7.6","78.6","0.1","69.657","135.501","2","2.4",619211,"0.1",3.4,2.5,"81",88,100,0.62,25,100,,41.3,0.63318181,0.832,"90.39685822",,"11.47",85,41,-0.02,5.06746101,50,0,46.3,46.4,43,1.742945623,3.753375338,0.0174,57.8,26,-0.15,0.4,-0.059,67,0.27708852,-0.17461178,0.10271527,Low,2.1616178,0.75496155,0.005240428,Low,-6.2764864,-3.714124,0.454594961,High,0.12108216,4.572714,0.540956502,High,3.081289,0.1900698,0.445732606,High,-3.3445082,-1.9836744,0.309847953,High
Morocco,MAR,Africa,73.38133,7.37,"38.56499863",1.43E+11,7.37,3795.380127,40.9,1.41E+11,33650.42969,"15.46755981","3.244246271",65.70967458,"-15539568149",35.935,4,6,20.28612138,68.84726822,"11.46700001",1.968907009,902.9565381,"32.59354146","100",83.02896428,14.30889033,10.69,798.8010712,"29",0.182,446550,114.2507133,1000,"8.906129377","6.903581897","84.19028947","6.073",6.75,174.2,"0.04","0.02","94",2.5,"73.92","70","17","49.1","1.9","84.929","130.197","16","18.7",37076584,"0.1",9.7,5.6,"84",88,100,0.45,23,100,6.75,50.9,0.504116356,0.683,"82.45423126",45.8,"0.69",75.625,24,-0.43,2.11682343,70,-0.1,31.4,41,32.7,4.183512993,13.19637422,0.0418,59.2,13,-0.4,-0.1,-0.253,73,0.24401288,-0.33092117,0.129470727,Low,-1.1711046,-5.2479773,0.023723004,Low,-3.6685877,-3.2019444,0.541574078,High,-1.9766169,-0.09972495,0.571831171,High,-0.4404158,-2.8890617,0.442119749,High,-0.5148035,-2.072078,0.341743746,High
Mozambique,MOZ,Africa,54.9955,2.22,"75.14499664",15776758633,2.22,491.8391128,45.6,15448140157,31527.5813,"19.03367996","3.536349374",90.00581381,"-2294249611",62.372,10,37,21.43811712,95.92866252,"3.982000113",0.247642485,483.4726029,"21.29869546","100",40.12743877,86.41088736,78.08,3311.805497,"100.3",0.795,799380,828.8710234,,"54.4396366","9.396195805","36.16416716","8.004",6.26,39.5,,,"361",49,"61.172","289","30","110","27.6","219.484","355.094","52.8","70.6",32077072,,40.4,32.7,"85",94,,0.87,42,30.60383224,6.26,44.2,0.362116665,0.446,"39.02047729",26.7,"2.3",82.5,29,-0.81,1.66722643,50,-0.8,36.2,26.3,44.1,1.511190014,4.315566485,0.0151,51.3,14,-1.23,-0.8,-1.035,47,-4.8498363,2.5869539,0.11070581,Low,2.6884677,3.5712893,0.055881121,Low,2.3056135,4.3705616,0.339261848,Low,-3.255252,-6.9398756,0.308653909,Low,-1.876089,0.12537846,0.30127323,Low,5.874993,0.58895606,0.223155184,Low
Myanmar,MMR,Asia,46.82775,-17.98,"53.55099869",65091751273,-17.98,1209.926942,,63362548426,1755477.993,"10.56412983","4.802555004",45.269945,,68.552,12,31,2.978486749,55.10412933,"2.173000097",0.692304948,220.3928554,"35.55745292","100",79.51356656,58.85410144,57.85,18906.4101,"1002.8",0.483,676590,-39.64041232,9400,"21.59729881","7.258174481","71.14452521","8.819",2.16,60,"0.32","0.2","360",19.1,"66.797","250","20.4","156.4","12.6","149.851","251.896","35","43.7",53798084,"0.8",3.7,3.1,"33",87,5700,,15,70.39719391,2.14,40,0.477652013,0.585,,37,"5.12",58.75,9,-1.03,0.73722625,20,-1.4,22.6,29.8,16.7,3.33493983,15.40328934,0.0333,49.6,0,-2.07,-1.1,-1.456,61,-7.594322,-0.6865201,0.017673366,Low,3.4620416,1.7125089,0.052790334,Low,-1.6282865,1.3731645,0.450280764,Low,-2.23869,-4.205853,0.342237935,Low,-4.449159,2.2237828,0.218567678,Low,3.1300466,-0.35135812,0.216310015,Low
Namibia,NAM,Africa,61.35078,2.43,"45.56299973",12310595844,2.43,4865.557765,59.7,12074230432,70525.99995,"26.39039993","1.733295051",128.4909374,"-985209978.1",46.995,10,27,29.18008823,75.13927288,"21.6779995",1.724811534,1674.988107,"25.3587654","100",3.06949132,97.78645833,30.69,2517.734497,"6.16",0.96,824290,421.2264361,5800,"45.15033261","11.81249471","43.03717294","8.475",9.64,427.3,"5.16","2.91","457",,"62.829","195","34.8","145","18.3","264.932","415.244","30.1","40.2",2530151,"11.8",32.6,18,"58",88,2400,1.61,44,56.2586937,9.64,36.8,0.446437538,0.615,,39.1,"5.43",86.25,46,0.26,3.98512077,40,0.1,40.7,53.9,67.6,3.001719923,8.224188076,0.03,59.2,31,0.55,0,0.362,62,-2.040709,-4.276867,0.116643702,Low,1.1463933,3.0183775,0.038827146,Low,3.0041943,3.7376263,0.381905473,Low,-0.31947994,-4.8061237,0.503274304,High,4.6920266,0.1437286,0.518845821,High,5.5163727,1.9483938,0.311899289,High
Nepal,NPL,Asia,63.1866,4.25,"75.59200287",36288830373,4.25,1208.218534,32.8,36486385880,143185.9157,"12.11302948","5.511971478",48.43639164,"-8706903115",78.992,8,46,19.08282606,40.91886559,"5.052000046",0.466487529,143.5068381,"99.73437372","100",204.0697717,100,77.39,6874.188069,"198.2",1,147180,62.28271927,,"24.82083296","8.721845396","66.45732167","7.209",4.39,53.2,,,"229",23.8,"69.246","186","16.3","193.8","19.8","144.182","201.323","23.6","28.2",30034989,"0.1",13.6,5.5,"41",91,,4.35,33,89.90000153,4.39,53.1,0.504601777,0.602,"85.521492",41.7,"2.05",80.625,32,-0.53,1.10280871,30,-0.9,20.3,33.8,34.1,1.33699189,4.377107921,0.0134,49.7,25,-0.24,-0.6,-0.467,53,-6.3664536,1.9129587,0.122188648,Low,3.3176749,4.8107443,0.008724355,Low,-1.5206369,1.0435922,0.468389589,High,-2.7694242,0.23423475,0.533938166,High,-0.69790787,-0.40640137,0.298499132,Low,1.9596015,1.0163319,0.286347978,Low
Netherlands,NLD,Europe,76.10376,5.04,"64.16100311",1.01E+12,5.04,57767.87881,30.3,9.90E+11,47747.32785,"12.51278973","2.524821467",157.4273682,"70659188109",7.428,4,9,23.0563304,146.461778,"4.010000229",8.437074627,6712.774758,"12.03440807","99.59814148",422.0761675,12.44208231,8.54,634.1931339,"11",0.291,41540,-12.73870386,200,"6.000823844","5.764990551","88.23418881","9.7",5.36,5335.3,"0.02","0.01","4.4",1.8,"81.4097561","5","4","13.7","0.2",,,"3.6","4.2",17533044,"0.1",1.4,2.5,"87",83,100,,39,100,,54.9,0.789915025,0.941,"115.1692429",80.3,"9.61",97.5,58,2.04,6.67556286,80,1.8,45,92.3,96.9,1.422450703,2.860111859,0.0142,79.5,39,0.92,1.8,1.739,86,4.049586,-1.7803129,0.236295963,High,-1.1128036,-3.7485235,0.0569915,Low,-6.2108326,-6.0562673,0.624757545,High,-0.09962205,7.6561437,0.715025198,High,8.793845,-0.93439466,0.62389619,High,-5.7698765,-3.9949727,0.451393279,High
New Zealand,NZL,Oceania,86.76465,4.65,"67.17099762",2.50E+11,4.65,48781.02663,36.2,2.46E+11,67780.61922,"13.48462963","4.327652512",37.86251271,"1850081382",13.211,1,7,27.46834592,44.22141026,"4.124000072",6.830414187,9012.731097,"5.956001129","0",19.13488476,80.08143875,29.65,65673.20051,"327",0.81,267710,18.93925642,200,"4.354730431","6.043371553","89.60189855","6.41",6.05,4211,"0.05","0.02","6.8",5.7,"82.05609756","9","9.6","7.2","0.1",,,"3.9","4.7",5122600,"0.1",3.5,2.5,"87",89,100,0.41,49,100,,57.4,0.775932431,0.937,"120.3818665",78.6,"10.63",97.5,59,2.2,7.36054611,80,1.4,41,97.5,95.9,1.370980659,3.14241415,0.0137,80.6,40,1.44,1.8,1.818,86,4.1215534,0.35562104,0.069517478,Low,4.4432473,-1.6331518,0.303780512,High,-5.7023263,-5.9572487,0.582492173,High,-0.27585208,7.9673448,0.725216106,High,8.98922,-0.98271656,0.631697022,High,-7.0465736,-2.799895,0.462540658,High
